id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
7119,0CD2,small_airport,"Foxx Valley Airport",39,-104,5800,NA,US,US-CO,Yoder,no,0CD2,,0CD2
7120,0CD3,heliport,"Branch's Heliport",40,-105,4635,NA,US,US-CO,Kersey,no,0CD3,,0CD3
7121,0CD4,heliport,"Kauffman Heliport",40,-105,5120,NA,US,US-CO,Denver,no,0CD4,,0CD4
7122,0CD5,small_airport,"Pi̱on Canyon Airport",37,-104,5686,NA,US,US-CO,Model,no,0CD5,,0CD5
7123,0CD6,heliport,"Exempla Good Samaritan Heliport",40,-105,5204,NA,US,US-CO,Lafayette,no,0CD6,,0CD6
7124,0CD7,small_airport,"Fox Hole Airport",40,-105,5135,NA,US,US-CO,Lafayette,no,0CD7,,0CD7
7125,0CD8,heliport,"Prowers Medical Center Heliport",38,-103,3575,NA,US,US-CO,Lamar,no,0CD8,,0CD8
7126,0CD9,heliport,"Swedish S.W. Medical Heliport",40,-105,5563,NA,US,US-CO,Littleton,no,0CD9,,0CD9
7127,0CL0,small_airport,"Yosemite Hidden Lake Ranch Airport",37,-120,500,NA,US,US-CA,Raymond,no,0CL0,,0CL0
7128,0CL1,small_airport,"Krey Field Airport",35,-118,3042,NA,US,US-CA,Adelanto,no,0CL1,,0CL1
7130,0CL3,small_airport,"John Nichols Field Airport",33,-117,490,NA,US,US-CA,Jamul,no,0CL3,,0CL3
7131,0CL4,heliport,"Glen Fed Heliport",34,-118,770,NA,US,US-CA,Glendale,no,0CL4,,0CL4
7132,0CL5,heliport,"The Atrium Heliport",34,-118,46,NA,US,US-CA,Irvine,no,0CL5,,0CL5
7133,0CL6,small_airport,"Bohunk's Airpark",35,-118,2410,NA,US,US-CA,Lancaster,no,0CL6,,0CL6
7134,0CL7,heliport,"Good Samaritan Hospital Heliport",34,-118,473,NA,US,US-CA,"Los Angeles",no,0CL7,,0CL7
7135,0CL8,small_airport,"Tera Ultralightport",36,-118,2510,NA,US,US-CA,Ridgecrest,no,0CL8,,0CL8
7136,0CL9,heliport,"Sce San Jacinto Valley Service Center Heliport",34,-117,1482,NA,US,US-CA,Romoland,no,0CL9,,0CL9
7137,0CO0,heliport,"Longmont United Hospital Heliport",40,-105,5047,NA,US,US-CO,Longmont,no,0CO0,,0CO0
7138,0CO1,small_airport,"Dave's Airport",40,-105,5170,NA,US,US-CO,Louisville,no,0CO1,,0CO1
7139,0CO2,small_airport,"Crested Butte Airpark",39,-107,8980,NA,US,US-CO,"Crested Butte",no,0CO2,CSE,0CO2
7140,0CO3,closed,"Greggs Nr 1 Airport",40,-105,5373,NA,US,US-CO,Bennett,no,,,
7141,0CO4,heliport,"Geo-Seis Helicopters Heliport",41,-105,4935,NA,US,US-CO,"Fort Collins",no,0CO4,,0CO4
7142,0CO5,closed,"Chenoweth Airport",40,-104,4697,NA,US,US-CO,"Last Chance",no,,,
7143,0CO6,small_airport,"Flying M & M Ranch Airport",38,-108,8000,NA,US,US-CO,Norwood,no,0CO6,,0CO6
7144,0CO7,heliport,"Century Helicopters Heliport",41,-105,4935,NA,US,US-CO,"Fort Collins",no,0CO7,,0CO7
7145,0CO8,small_airport,"Cartwheel Airport",40,-105,5010,NA,US,US-CO,Mead,no,0CO8,,0CO8
7146,0CO9,small_airport,"Van Treese Airport",38,-106,7613,NA,US,US-CO,"Monte Vista",no,0CO9,,0CO9
7147,0CT0,heliport,"Sharon Hospital Heliport",42,-73,640,NA,US,US-CT,Sharon,no,0CT0,,0CT0
